label,precision,recall,f1,support
0,0.4,0.5185185185185185,0.45161290322580644,27
1,0.6470588235294118,0.3333333333333333,0.44,33
2,0.7027027027027027,0.8666666666666667,0.7761194029850746,30
3,0.75,0.9,0.8181818181818182,30
4,0.5833333333333334,0.5,0.5384615384615384,28
5,0.34782608695652173,0.3076923076923077,0.32653061224489793,26
6,0.43902439024390244,0.6666666666666666,0.5294117647058824,27
7,0.6666666666666666,0.5384615384615384,0.5957446808510638,26
8,0.8235294117647058,0.4666666666666667,0.5957446808510638,30
9,0.625,0.7692307692307693,0.6896551724137931,26
